"행정구역별",2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2
"행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),실업자(RSE),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),15~64세 고용률 (%),실업률 (％),실업률(RSE)
"장흥군",28,20,20,0,*,8,72.8,72.4,78.1,0.6,*
"강진군",26,19,19,0,*,7,72.4,71.8,78.5,0.9,*
"해남군",53,40,40,0,*,12,76.4,76.1,83.6,0.4,*
"영암군",54,39,39,1,*,15,73.0,71.5,76.2,2.0,*
"무안군",83,55,55,0,*,28,66.4,65.9,67.0,0.8,*
"함평군",25,18,17,0,*,7,70.3,69.6,76.5,1.1,*
"영광군",43,29,29,1,*,14,68.2,67.2,73.0,1.6,*
"장성군",34,23,23,1,*,11,68.0,66.6,68.2,2.0,*
"완도군",40,29,29,0,*,11,73.4,73.2,81.0,0.2,*
"진도군",25,19,19,0,*,6,76.4,76.2,80.0,0.4,*
"신안군",31,24,24,0,*,6,79.1,78.2,83.7,1.1,*
"포항시",427,264,257,6,-,164,61.6,60.2,68.5,2.4,-
"경주시",231,149,145,4,*,82,64.5,62.7,69.4,2.8,-
"김천시",121,79,78,2,*,42,65.7,64.4,68.2,1.9,*
"안동시",141,87,86,1,*,54,61.8,61.1,66.5,1.1,*
"구미시",354,230,218,11,-,125,64.8,61.7,66.4,4.9,-
"영주시",90,56,55,1,*,34,62.4,61.3,67.5,1.9,*
"영천시",87,59,58,1,*,28,68.2,66.7,71.7,2.2,*
"상주시",83,59,58,1,*,24,70.7,69.8,73.9,1.3,*
"문경시",58,38,38,1,*,20,65.9,65.0,73.1,1.4,*
"경산시",269,157,154,4,*,112,58.5,57.1,61.2,2.2,*
"의성군",43,32,32,0,*,11,74.6,74.1,81.6,0.7,*
"청송군",21,17,17,0,*,4,81.6,81.2,83.3,0.5,*
"영양군",14,11,11,0,*,3,76.4,76.0,79.3,0.5,*
"영덕군",29,19,18,0,*,10,64.3,63.2,76.7,1.7,*
"청도군",36,27,26,0,*,10,73.0,72.6,75.8,0.6,*
