자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-62467,2025.12.1 5:59,2128,관악구청교차로,0,2025.12.1 6:09,2148,낙성대역 3번출구 뒤,0,9,1376.69,1998,\N,내국인,ST-720,ST-887,일반자전거
SPB-48206,2025.12.1 6:05,2185,대학동 고시촌,0,2025.12.1 6:19,2111,서울대입구역 1번출구,0,13,2567.44,\N,\N,\N,ST-1757,ST-965,일반자전거
SPB-64311,2025.12.1 6:17,2102,봉림교 교통섬,0,2025.12.1 6:22,2173,당곡사거리,0,5,772.39,1978,M,내국인,ST-702,ST-1268,일반자전거
SPB-62972,2025.12.1 5:39,2175,신림동걷고싶은문화의거리입구,0,2025.12.1 6:24,2173,당곡사거리,0,45,1610.0,\N,\N,\N,ST-1270,ST-1268,일반자전거
SPB-40407,2025.12.1 6:21,2109,은천로입구 가로공원,0,2025.12.1 6:24,2169,봉천역 2번출구,0,3,734.95,1988,\N,내국인,ST-882,ST-1264,일반자전거
SPB-59438,2025.12.1 6:21,2109,은천로입구 가로공원,0,2025.12.1 6:24,2169,봉천역 2번출구,0,3,734.95,1985,\N,내국인,ST-882,ST-1264,일반자전거
SPB-56669,2025.12.1 6:19,2108,은천치안센터,0,2025.12.1 6:26,2111,서울대입구역 1번출구,0,6,968.2,1978,M,내국인,ST-714,ST-965,일반자전거
SPB-55626,2025.12.1 6:21,2187,현대시장사거리,0,2025.12.1 6:26,2169,봉천역 2번출구,0,4,940.0,1981,\N,내국인,ST-2371,ST-1264,일반자전거
SPB-69771,2025.12.1 5:17,2195,은천교회,0,2025.12.1 6:37,2195,은천교회,0,79,890.0,1981,F,내국인,ST-2379,ST-2379,일반자전거
SPB-32082,2025.12.1 6:36,2102,봉림교 교통섬,0,2025.12.1 6:43,2140,신림1교 교차로,0,6,709.76,1992,\N,내국인,ST-702,ST-724,일반자전거
SPB-74128,2025.12.1 6:37,2191,대학동주민센터,0,2025.12.1 6:45,2178,서울대학교 정문,0,8,1370.44,1983,M,내국인,ST-2375,ST-1547,일반자전거
SPB-61893,2025.12.1 6:42,2179,양녕로 입구,0,2025.12.1 6:50,2102,봉림교 교통섬,0,8,1812.15,\N,\N,\N,ST-1548,ST-702,일반자전거
SPB-51061,2025.12.1 6:50,2109,은천로입구 가로공원,0,2025.12.1 6:53,2189,봉천역 4번출구,0,3,625.55,1996,F,내국인,ST-882,ST-2373,일반자전거
SPB-66870,2025.12.1 6:52,2119,중앙동 동진빌딩,0,2025.12.1 7:02,2130,영어마을 관악캠프,0,10,1460.49,1963,M,내국인,ST-884,ST-722,일반자전거
SPB-52097,2025.12.1 6:43,2191,대학동주민센터,0,2025.12.1 7:02,2164,관악우체국,0,19,3020.0,\N,\N,비회원,ST-2375,ST-1259,일반자전거
SPB-35382,2025.12.1 6:28,2137,KT&G 관악지점,0,2025.12.1 7:09,2137,KT&G 관악지점,0,40,6863.14,\N,\N,\N,ST-723,ST-723,일반자전거
SPB-68179,2025.12.1 7:07,2187,현대시장사거리,0,2025.12.1 7:13,2171,서울대입구역 5번출구,0,6,819.98,1993,\N,내국인,ST-2371,ST-1337,일반자전거
SPB-56669,2025.12.1 7:07,2111,서울대입구역 1번출구,0,2025.12.1 7:18,2169,봉천역 2번출구,0,10,1002.73,1998,\N,내국인,ST-965,ST-1264,일반자전거
SPB-39195,2025.12.1 7:23,2105,미성동 신림체육센터,0,2025.12.1 7:26,2170,조원동 강남힐병원,0,3,375.91,\N,\N,\N,ST-704,ST-1265,일반자전거
SPB-63601,2025.12.1 7:16,2109,은천로입구 가로공원,0,2025.12.1 7:27,2179,양녕로 입구,0,10,1010.8,\N,F,내국인,ST-882,ST-1548,일반자전거
SPB-44462,2025.12.1 7:24,2109,은천로입구 가로공원,0,2025.12.1 7:28,2189,봉천역 4번출구,0,3,625.55,1985,F,내국인,ST-882,ST-2373,일반자전거
SPB-54074,2025.12.1 7:27,2119,중앙동 동진빌딩,0,2025.12.1 7:30,2171,서울대입구역 5번출구,0,2,88.24,1996,F,내국인,ST-884,ST-1337,일반자전거
SPB-74732,2025.12.1 7:28,2140,신림1교 교차로,0,2025.12.1 7:33,2136,신림역 8번출구,0,4,701.08,1987,M,내국인,ST-724,ST-976,일반자전거
SPB-73412,2025.12.1 7:26,2109,은천로입구 가로공원,0,2025.12.1 7:33,2112,서울대입구역 마에스트로,0,7,1458.59,2000,M,내국인,ST-882,ST-715,일반자전거
SPB-52097,2025.12.1 7:33,2164,관악우체국,0,2025.12.1 7:34,2136,신림역 8번출구,0,1,230.0,1991,M,내국인,ST-1259,ST-976,일반자전거
SPB-31695,2025.12.1 7:32,2156,신림푸르지오아파트,0,2025.12.1 7:37,2110,조원동 미성아파트,0,5,725.1,1974,F,내국인,ST-952,ST-950,일반자전거
SPB-66000,2025.12.1 7:26,2176,보라매공원 보도육교,0,2025.12.1 7:37,2144,난우길입구,0,11,1558.54,1969,M,내국인,ST-1357,ST-709,일반자전거
SPB-34143,2025.12.1 7:34,2109,은천로입구 가로공원,0,2025.12.1 7:37,2136,신림역 8번출구,0,3,561.52,\N,\N,\N,ST-882,ST-976,일반자전거
SPB-44171,2025.12.1 7:33,2187,현대시장사거리,0,2025.12.1 7:38,2171,서울대입구역 5번출구,0,4,753.34,1989,F,내국인,ST-2371,ST-1337,일반자전거
SPB-55640,2025.12.1 7:38,2195,은천교회,0,2025.12.1 7:40,2136,신림역 8번출구,0,2,385.18,1974,\N,내국인,ST-2379,ST-976,일반자전거
SPB-69771,2025.12.1 7:39,2195,은천교회,0,2025.12.1 7:40,2109,은천로입구 가로공원,0,1,320.0,1998,\N,내국인,ST-2379,ST-882,일반자전거
SPB-41847,2025.12.1 6:28,2109,은천로입구 가로공원,0,2025.12.1 7:41,2136,신림역 8번출구,0,72,264.71,1995,\N,내국인,ST-882,ST-976,일반자전거
SPB-66010,2025.12.1 7:40,2169,봉천역 2번출구,0,2025.12.1 7:47,2173,당곡사거리,0,7,1618.79,1992,M,내국인,ST-1264,ST-1268,일반자전거
SPB-36226,2025.12.1 7:40,2145,은천초등학교 육교,0,2025.12.1 7:47,2173,당곡사거리,0,7,1346.77,1980,F,내국인,ST-725,ST-1268,일반자전거
SPB-48764,2025.12.1 7:46,2109,은천로입구 가로공원,0,2025.12.1 7:48,2136,신림역 8번출구,0,2,590.0,1994,\N,내국인,ST-882,ST-976,일반자전거
SPB-67904,2025.12.1 7:43,2179,양녕로 입구,0,2025.12.1 7:49,2195,은천교회,0,5,1270.0,1995,,내국인,ST-1548,ST-2379,일반자전거
SPB-70610,2025.12.1 7:49,2187,현대시장사거리,0,2025.12.1 7:54,2171,서울대입구역 5번출구,0,4,1080.0,1997,M,내국인,ST-2371,ST-1337,일반자전거
SPB-38972,2025.12.1 7:48,2145,은천초등학교 육교,0,2025.12.1 7:54,2116,에이스에이존빌딩,0,6,869.27,1998,M,내국인,ST-725,ST-717,일반자전거
SPB-67995,2025.12.1 7:45,2196,봉천역 3번출구,0,2025.12.1 7:55,2173,당곡사거리,0,10,1330.67,1996,M,내국인,ST-2380,ST-1268,일반자전거
