대여소_번호,대여소_ID,대여소명,자치구,Capa,일평균_순유입량,순유입량_표준편차,n_days,t_statistic,p_value_two_sided,net_flow_group,반납_우세_비율(%),대여_우세_비율(%),매핑상태
2921,ST-2087,중계역 2번출구,노원구,10,20.95,32.13,304,11.368681340451555,3.5068279022473605e-25,+_순유입/과적,78.38,19.59,매핑완료
2620,ST-1730,송파나루역 4번 출구옆,송파구,12,20.91,42.65,304,8.548143203698523,6.253541564564931e-16,+_순유입/과적,69.26,28.38,매핑완료
1933,ST-678,개봉푸르지오아파트 상가,구로구,16,20.83,29.06,304,12.497710253813109,3.456353413329576e-29,+_순유입/과적,79.73,18.24,매핑완료
5086,ST-3118,가양테크노타운,강서구,8,20.82,29.34,304,12.372498432790298,9.753847281764163e-29,+_순유입/과적,73.65,20.27,매핑완료
133,ST-35,해담는다리,서대문구,15,20.56,31.51,304,11.376574075429545,3.2914471899842287e-25,+_순유입/과적,75.0,21.96,매핑완료
4938,ST-3376,LH수서2단지 201동 앞,강남구,10,20.45,42.97,304,8.297834153633397,3.533031614401841e-15,+_순유입/과적,71.14,24.16,매핑완료
131,ST-33,증산2교,서대문구,20,20.43,31.48,304,11.315413648860988,5.376535398545972e-25,+_순유입/과적,74.66,22.64,매핑완료
1328,ST-910,월곡역 3번출구,성북구,10,20.43,29.1,304,12.240866723922469,2.8925579403185597e-28,+_순유입/과적,77.03,19.93,매핑완료
2375,ST-1184,수서역 1번출구 앞,강남구,14,20.37,26.83,304,13.237535815120916,7.074583916069293e-32,+_순유입/과적,78.72,17.91,매핑완료
2608,ST-1681,송파구청,송파구,10,20.2,53.18,304,6.622772370027952,1.605255710271091e-10,+_순유입/과적,59.12,38.18,매핑완료
1471,ST-2292,동양쇼핑 정류소 앞,중랑구,10,20.14,27.25,304,12.886344913454558,1.353740974795048e-30,+_순유입/과적,77.36,19.26,매핑완료
103,ST-5,망원역 2번출구 앞,마포구,14,20.12,33.03,304,10.62077465867858,1.3116736465641584e-22,+_순유입/과적,72.3,24.66,매핑완료
2060,ST-1152,남성역3번출구 뒤,동작구,10,19.95,32.35,304,10.752399866910224,4.681291471613551e-23,+_순유입/과적,73.99,22.64,매핑완료
2742,ST-2059,강서구민올림픽체육센터,강서구,10,19.93,26.94,304,12.898716547106998,1.2205043187670987e-30,+_순유입/과적,75.68,20.27,매핑완료
