gu,factor,value,unit,source,year
동대문구,registered_foreigners_ratio_pct,5.789,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
동작구,population_total,395095,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
동작구,area_km2,16.35,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
동작구,population_density_per_km2,24164.8,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
동작구,centroid_lat,37.495006,deg,frontend/public/seoul_gu_simple.geojson,2013
동작구,centroid_lon,126.948802,deg,frontend/public/seoul_gu_simple.geojson,2013
동작구,dist_to_cityhall_km,8.332,km,computed_from_centroid,2013
동작구,registered_foreigners_total,12377,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
동작구,registered_foreigners_ratio_pct,3.133,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
마포구,population_total,374579,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
마포구,area_km2,23.88,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
마포구,population_density_per_km2,15685.9,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
마포구,centroid_lat,37.561081,deg,frontend/public/seoul_gu_simple.geojson,2013
마포구,centroid_lon,126.912448,deg,frontend/public/seoul_gu_simple.geojson,2013
마포구,dist_to_cityhall_km,5.798,km,computed_from_centroid,2013
마포구,registered_foreigners_total,11727,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
마포구,registered_foreigners_ratio_pct,3.131,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
서대문구,population_total,310821,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
서대문구,area_km2,17.60,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
서대문구,population_density_per_km2,17660.3,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
서대문구,centroid_lat,37.579860,deg,frontend/public/seoul_gu_simple.geojson,2013
서대문구,centroid_lon,126.942974,deg,frontend/public/seoul_gu_simple.geojson,2013
서대문구,dist_to_cityhall_km,3.427,km,computed_from_centroid,2013
서대문구,registered_foreigners_total,16728,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
서대문구,registered_foreigners_ratio_pct,5.382,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
서초구,population_total,439030,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
서초구,area_km2,47.00,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
서초구,population_density_per_km2,9341.1,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
서초구,centroid_lat,37.464048,deg,frontend/public/seoul_gu_simple.geojson,2013
서초구,centroid_lon,127.039196,deg,frontend/public/seoul_gu_simple.geojson,2013
서초구,dist_to_cityhall_km,12.590,km,computed_from_centroid,2013
서초구,registered_foreigners_total,4809,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
서초구,registered_foreigners_ratio_pct,1.095,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
성동구,population_total,308519,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
성동구,area_km2,16.85,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
성동구,population_density_per_km2,18309.7,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
성동구,centroid_lat,37.551088,deg,frontend/public/seoul_gu_simple.geojson,2013
성동구,centroid_lon,127.035984,deg,frontend/public/seoul_gu_simple.geojson,2013
성동구,dist_to_cityhall_km,5.392,km,computed_from_centroid,2013
성동구,registered_foreigners_total,8093,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
성동구,registered_foreigners_ratio_pct,2.623,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
성북구,population_total,439292,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
성북구,area_km2,24.56,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
성북구,population_density_per_km2,17886.5,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
성북구,centroid_lat,37.605277,deg,frontend/public/seoul_gu_simple.geojson,2013
성북구,centroid_lon,127.019519,deg,frontend/public/seoul_gu_simple.geojson,2013
성북구,dist_to_cityhall_km,5.677,km,computed_from_centroid,2013
성북구,registered_foreigners_total,13931,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
성북구,registered_foreigners_ratio_pct,3.171,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
송파구,population_total,667144,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
송파구,area_km2,33.88,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
